round,category,operation,inner_iterations,mean_us
19,crypto,AES-128-GCM encrypt (256 B),2000,0.5712
19,crypto,AES-128-GCM decrypt (256 B),2000,0.59735
19,crypto,ECDSA-P256 sign,300,18.342666666666666
19,crypto,ECDSA-P256 verify,300,48.46033333333334
19,crypto,ECDH-P256 shared secret,300,37.574333333333335
19,crypto,ECC-P256 key generation,80,11.62125
19,crypto,X25519 shared secret,600,22.3215
19,crypto,RSA-2048 sign,50,403.506
19,crypto,RSA-2048 verify,300,16.82466666666667
19,hash_path,Merkle-style hash-path lookup N=1,1000,0.8122
19,hash_path,Merkle-style hash-path update N=1,1000,2.0923000000000003
19,hash_path,Merkle-style hash-path lookup N=10,1000,2.9688000000000003
19,hash_path,Merkle-style hash-path update N=10,1000,3.8508
19,hash_path,Merkle-style hash-path lookup N=50,1000,3.7546
19,hash_path,Merkle-style hash-path update N=50,1000,5.7317
19,hash_path,Merkle-style hash-path lookup N=100,1000,4.4473
